timestamp,quatw,quatx,quaty,quatz,freex,freey,freez,ang_vel_x,ang_vel_y,ang_vel_z
616925592,0.5244513,0.30984712,0.22672291,0.7599623,2.2477243,6.38781,7.501589,4.0884986,4.853435,3.851799
616942259,0.5240773,0.30952498,0.22691289,0.76029474,2.2012184,6.4524064,7.4779143,2.5390582,5.002412,4.226001
616958926,0.52372736,0.3091653,0.22708951,0.7606292,2.1997776,6.3847675,7.3884506,2.3531733,5.3428035,4.3368
616975593,0.5233299,0.30903468,0.2275003,0.76083297,2.2259097,6.265216,7.3669043,4.6952505,4.780118,3.978543
616992260,0.5228323,0.30904794,0.22804816,0.76100576,2.3555589,6.326125,7.4610505,6.150744,4.4876723,4.1835856
617008927,0.52240586,0.30884317,0.22830433,0.7613051,2.5130544,6.4483833,7.6073637,3.5691366,4.9565,4.7335796
617025594,0.5221118,0.30818787,0.22807297,0.7618414,2.629641,6.400598,7.522077,-1.2276169,5.938491,5.238035
617042261,0.5217746,0.30732158,0.22777295,0.7625121,2.7822917,6.1973815,7.3725038,-2.420977,7.312805,5.839973
617058928,0.5212856,0.30648473,0.22772549,0.7631969,2.6659796,6.1726947,7.3806086,-0.7517841,8.2138605,5.9329205
617075595,0.5208105,0.30556616,0.22779542,0.76386845,2.6308486,6.2414684,7.433796,-0.44996402,9.007368,5.3300104
617092262,0.5205037,0.3043101,0.2275187,0.764661,2.760809,6.2007236,7.4310083,-4.0058537,9.616119,5.093786
617108929,0.52026296,0.30246222,0.22650349,0.76585853,2.931373,6.0834703,7.301488,-10.786594,10.8503,6.737844
617125596,0.5200382,0.300265,0.22499597,0.7673187,2.7550864,5.9294257,7.1499887,-15.037868,11.628164,8.131321
617142263,0.5199038,0.29817602,0.2232128,0.76874393,2.3200364,5.957449,7.036537,-16.207893,10.020887,8.350463
617158930,0.5199349,0.2960662,0.22154127,0.7700209,2.3161757,5.79456,6.9387164,-15.887489,9.8235655,6.531625
617175597,0.5199991,0.29440182,0.22019966,0.7709999,2.0858572,5.675643,7.0865827,-12.185405,8.014534,5.3244553
617192264,0.52014637,0.2928483,0.21893074,0.7718531,1.8972027,5.9067674,7.3704505,-11.390322,7.2839947,4.4732676
617208931,0.52054864,0.29082832,0.21695988,0.77290136,1.8083391,6.187458,7.541873,-17.625492,7.1411443,4.4969883
617225598,0.5212354,0.2882464,0.21412127,0.7741962,1.8994961,6.2468476,7.5893774,-25.228878,6.987904,4.7831063
617242265,0.5221095,0.28502098,0.21046355,0.77580273,2.1036575,6.3594856,7.548481,-32.773403,7.740107,5.607866
617258932,0.5229371,0.28152218,0.20668265,0.7775375,2.1266584,5.8416324,7.2069864,-34.543663,9.1162615,6.297225
617275599,0.5232953,0.2785763,0.20370845,0.7791408,2.3046737,5.5609455,7.077492,-27.23885,9.343062,7.446781
617292266,0.52294177,0.27620944,0.20198847,0.7806672,2.1329784,5.5659165,7.369776,-17.028938,11.556258,9.319945
617308933,0.5220424,0.27397293,0.2008523,0.78234833,1.9429506,5.608092,7.745061,-12.635661,13.9849615,11.877159
617325600,0.5207126,0.27131945,0.19976845,0.784434,1.8707484,5.6203046,7.7855983,-13.645199,17.628298,14.86139
617342267,0.51915747,0.26814204,0.1985664,0.78685904,1.8486168,5.6751566,7.9622617,-16.240223,20.866705,16.743969
617358934,0.5176193,0.26437807,0.19705366,0.78952175,1.7070751,5.5176487,7.935916,-20.391283,23.27588,17.28183
617375601,0.5159201,0.26068607,0.19615996,0.7920799,1.6471622,5.097757,7.7554297,-16.399471,24.924133,16.613625
617392268,0.51366013,0.25720322,0.19573733,0.7947873,1.7235368,4.9846916,7.971283,-12.739884,25.159164,17.928839
617408935,0.5110579,0.2537585,0.19567621,0.79758215,1.8049212,4.843253,8.1619625,-10.110027,26.811493,19.537762
617425602,0.5082748,0.25039873,0.19590901,0.8003607,1.7030523,4.646196,8.30517,-7.8129067,27.56911,20.082664
617442269,0.505495,0.24726526,0.19646554,0.8029545,1.5770694,4.591226,8.426816,-4.930131,27.100283,19.175964
617458936,0.5028625,0.24427715,0.19709504,0.80536425,1.3722038,4.488846,8.616771,-3.9511056,25.999075,17.811357
617475603,0.5003721,0.24132265,0.19751588,0.80769974,1.2427708,4.3946776,8.757891,-5.0422735,24.717522,17.186914
617492270,0.49786904,0.23834383,0.19773638,0.8100736,1.002559,4.1775837,8.892781,-6.174551,24.180563,17.715805
617508937,0.49532238,0.23539265,0.19808798,0.8124084,0.6354401,4.100283,9.009279,-5.1130023,24.389227,17.68033
617525604,0.49284777,0.23268275,0.19881104,0.8145146,0.25642493,4.2050667,9.180671,-1.904553,23.731344,16.27781
617542271,0.49059442,0.2298442,0.1996696,0.81646866,0.09862743,4.3674707,9.432562,-1.6164347,24.233133,14.202748
617558938,0.48852324,0.22668245,0.20037907,0.8184182,0.17182553,4.3576694,9.476783,-3.71964,25.147367,13.035204
617575605,0.48644713,0.22307754,0.20115376,0.8204528,0.2733536,4.3713217,9.597431,-4.8486543,27.872673,12.708353
617592272,0.48447472,0.21908915,0.20200528,0.822483,0.35414818,4.531919,9.680526,-5.7498426,30.029999,11.523332
617608939,0.48266655,0.21486096,0.20322406,0.8243591,0.40327618,4.7181363,9.747935,-4.4184647,32.05096,9.255936
