timestamp,quatw,quatx,quaty,quatz,freex,freey,freez,ang_vel_x,ang_vel_y,ang_vel_z
620412918,0.73766446,0.28921562,0.48103702,0.3752453,0.0,0.0,0.0,0.0,0.0,0.0
620479586,0.73807496,0.28846434,0.48047325,0.37573823,-4.722846,7.626935,3.4935691,-6.216809,-0.19174992,-1.2760466
620546254,0.73833936,0.2870442,0.48100728,0.3756231,-4.765958,7.6340985,3.4316404,-5.914869,0.34047195,-1.9162055
620612922,0.73874265,0.28449407,0.4813931,0.37627533,-4.7931075,7.631755,3.423665,-6.996963,2.106464,-1.6624583
620679590,0.73895717,0.28097105,0.48198837,0.37773624,-4.8428006,7.6084294,3.4919755,-7.937614,3.2776244,-1.3545204
620746258,0.73930514,0.27719435,0.48273584,0.37888998,-4.770282,7.6326466,3.6380563,-7.8678427,4.2243943,-1.9420311
620812926,0.7405546,0.27095985,0.48418525,0.37911007,-4.6123743,7.645381,3.919636,-9.152142,6.0891347,-6.692561
620879594,0.7432902,0.25777975,0.48947176,0.37614754,-4.2872357,7.318808,3.8691113,-12.946039,13.593029,-19.874203
620946262,0.7442239,0.24285197,0.50121534,0.36869666,-4.8949504,7.289496,3.0901823,-6.929585,22.795864,-29.10667
621012930,0.7482537,0.22010036,0.51477194,0.35592455,-5.2174473,7.0218906,3.099212,-13.535491,24.828224,-45.213963
621079598,0.746803,0.20174813,0.5283643,0.3498774,-6.027481,6.5618944,3.0760906,-11.874692,29.22463,-29.052107
621146266,0.7431026,0.17656523,0.5436168,0.34800038,-6.342738,6.125229,2.8737185,-22.555218,38.37238,-28.936056
621212934,0.7372603,0.15529133,0.5573898,0.34878168,-6.7812915,5.58917,2.6294894,-19.4127,35.951283,-20.198433
621279602,0.7316605,0.13768892,0.568307,0.3503453,-8.169312,5.2584105,1.9816141,-16.75459,29.248905,-14.65114
621346270,0.7288926,0.1197513,0.576819,0.34879085,-8.635701,5.586078,2.0957828,-16.402485,22.276407,-19.29091
621412938,0.7260599,0.1032534,0.5833707,0.34907645,-8.268605,5.349546,2.534672,-17.631842,19.11099,-14.82573
621479606,0.7210136,0.08906128,0.5888457,0.35421515,-8.162183,5.591175,2.4469724,-19.795467,19.496153,-4.8922935
621546274,0.71700007,0.07638279,0.5918959,0.3601888,-8.325611,5.4341054,2.4899297,-20.385096,14.684709,-2.6599677
621612942,0.7167017,0.066086926,0.5914877,0.36347437,-8.25462,5.5284333,2.0722365,-17.387207,4.7731805,-5.490365
621679610,0.7191656,0.05455195,0.588526,0.36532485,-7.7824187,5.5954165,2.220555,-19.43726,-0.6382761,-10.101945
621746278,0.72009766,0.046738524,0.58528095,0.3697582,-7.832809,5.5421004,2.4531767,-17.56485,-1.5277576,-2.4242148
621812946,0.72232467,0.036980756,0.57991344,0.37494,-7.8826504,5.2152863,2.4308767,-22.240788,-4.1426287,-4.3107944
